input,reference,greedy,beam
"lord save me , think i , must be harpooneer , infernal head - peddler .","lord save me , thinks i , that must be the harpooneer , the infernal head - peddler .","lord saved me , think i , must be harpooneers , infernal head - peddler .","lord saved me , think i , must be harpooneers , infernal head - peddler ."
then be world one,then is the world one,then was the world one,then was the world one
"that gentile , which follow not after righteousness , have attain righteousness , even righteousness which be of faith .","that the gentiles , which followed not after righteousness , have attained to righteousness , even the righteousness which is of faith .","that the gentiles , which followed not after righteousness , has attained righteousness , even righteousness which is of faith .","that the gentiles , which followed not after righteousness , has attained righteousness , even righteousness which is of faith ."
anything for quiet life .,anything for a quiet life .,anything for the quiet life .,anything for the quiet life .
"42 : 8 lord will command his lovingkindness in day time , in night his song shall be with me , my prayer unto god of my life .","42 : 8 yet the lord will command his lovingkindness in the day time , and in the night his song shall be with me , and my prayer unto the god of my life .","42 : 8 and the lord will command his lovingkindness in the day time , in the night and his song shall be with me , and my prayer unto the god of my life .","42 : 8 and the lord will command his lovingkindness in the day time , in the night and his song shall be with me , and my prayer unto the god of my life ."
"on his side be inquiry ,--"" wa she horsewoman ?-- pleasant rid ?-- pleasant walk ?-- have they large neighbourhood ?-- highbury , perhaps , afford society enough ?-- there be several very pretty house in about it .-- ball -- have they ball ?-- wa it musical","on his side were the inquiries ,--"" was she a horsewoman ?-- pleasant rides ?-- pleasant walks ?-- had they a large neighbourhood ?-- highbury , perhaps , afforded society enough ?-- there were several very pretty houses in and about it .-- balls -- had they balls","on his side was all inquiries ,--"" was she to horsewoman ?-- the pleasant rid ?-- the pleasant walk ?-- have they a large neighbourhood ?-- highbury , perhaps , afford society enough ?-- there was several very pretty house in about it .-- ball -- had they","on his side was inquiries ,--"" was she to horsewoman ?-- the pleasant rid ?-- the pleasant walk ?-- have they a large neighbourhood ?-- highbury , perhaps , afford society enough ?-- there was several very pretty house in about it .-- ball -- had they ball"
"on mr musgrove ' s side , it be , "" i make rule of never interfere in of my daughter - in - law ' s concern , for i know it would not do ; i shall tell you , miss anne , because you may","and on mrs musgrove ' s side , it was , "" i make a rule of never interfering in any of my daughter - in - law ' s concerns , for i know it would not do ; but i shall tell you , miss anne","on mrs musgrove ' s side , it is , "" i make the rule of never interfering in of my daughter - in - law ' s concern , for i know it would not do ; i shall tell you , miss anne , because you","on mrs musgrove ' s side , it is , "" i make the rule of never interfering in of my daughter - in - law ' s concern , for i know it would not do ; i shall tell you , miss anne , because you"
"3 : 28 israel heard of judgment which king have judge ; they fear king : for they saw that wisdom of god be in him , do judgment .","3 : 28 and all israel heard of the judgment which the king had judged ; and they feared the king : for they saw that the wisdom of god was in him , to do judgment .","3 : 28 and israel heard of judgment which the king had judged ; and they feared king : for they saw that wisdom of god was in him , and did judgment .","3 : 28 and israel heard of judgment which the king had judged ; and they feared king : for they saw that wisdom of god was in him , and did judgment ."
amos,amos,amos,amos
"she could think of nothing better : though there be something in it which her own heart could not approve -- something of ingratitude , merely gloss over -- it must be do , what would become of harriet ?","she could think of nothing better : and though there was something in it which her own heart could not approve -- something of ingratitude , merely over -- it must be done , or what would become of harriet ?","she could think of nothing better : though there was something in it which her own heart could not approve -- something of ingratitude , merely suspicious over -- it must be done , what would become of harriet ?","she could think of nothing better : though there was something in it which her own heart could not approve -- something of ingratitude , merely suspicious over -- it must be done , what would become of harriet ?"
} beginner,},} no beginner,} a beginner
"god help me , be why i be speak !","god help me , that is why i am speaking !","god helped me , and am why i am spoken !","god helped me , is why i am spoken !"
"foot two farther up their foot find beach firmer , few moment afterwards they be lean on ragged breakwater look back at sea they have escape .","a foot or two farther up their feet found the beach firmer , and a few moments afterwards they were leaning on the ragged breakwater and looking back at the sea they had escaped .","the feet and two farther up their feet found the beach , and the few moments afterwards they were leaning on the ragged breakwater looked back at sea they had escaped .","the feet and two farther up their feet found the beach , and the few moments afterwards they were leaning on the ragged breakwater looked back at sea they had escaped ."
"6 : 7 for we bring nothing into world , it be certain we can carry nothing out .","6 : 7 for we brought nothing into this world , and it is certain we can carry nothing out .","6 : 7 for we bring nothing into the world , and it is certain we can carry nothing out .","6 : 7 for we bring nothing into the world , and it is certain we can carry nothing out ."
"they also speak applaud crowd of happiness of future , of mankind freed at last .","they also speak to applauding crowds of the happiness of the future , and of mankind freed at last .","they also speak to applaud the crowd of happiness of the future , of mankind freed at last .","they also speak to applaud the crowd of happiness of the future , of mankind freed at last ."
"30 : 33 so shall my righteousness answer for me in time come , when it shall come for my hire before thy face : one that be not speckle spot among goat , brown among sheep , that shall be count steal with me .","30 : 33 so shall my righteousness answer for me in time to come , when it shall come for my hire before thy face : every one that is not speckled and spotted among the goats , and brown among the sheep , that shall be counted","30 : 33 so shall my righteousness answer for me in time come , when it shall come for my hire before thy face : one that is not a speckled spot among the goat , and brown among the sheep , that shall be counted stolen with","30 : 33 so shall my righteousness answer for me in time to come , when it shall come for my hire before thy face : every one that is not a speckled spot among the goat , and brown among the sheep , that shall be counted"
"enter lucy , run , out of breath .","enter lucy , running , out of breath .","enter lucy , run , out of breath .","enter lucy , run , out of breath ."
enter voltemand cornelius .,enter voltemand and cornelius .,enter the dimness and cornelius .,enter the dimness and cornelius .
"1 a song of roll earth , of word accord , were you think that be word , upright line ?","1 a song of the rolling earth , and of words according , were you thinking that those were the words , those upright lines ?","1 a song of rolls the earth , of words according , are you think that is word , upright lines ?","1 a song of rolls the earth , of words according , are you think that is word , upright lines ?"
"4 : 4 then say lord , doest thou well be angry ?","4 : 4 then said the lord , doest thou well to be angry ?","4 : 4 then said the lord , doest thou well be angry ?","4 : 4 then said the lord , doest thou well be angry ?"
""" yes , oh !",""" yes , oh !",""" yes , oh !",""" yes , oh !"
"instantly captain run forward , in loud voice command his crew desist from hoist cut - tackle , at once cast loose cable chain confine whale ship .","instantly the captain ran forward , and in a loud voice commanded his crew to desist from hoisting the cutting - tackles , and at once cast loose the cables and chains the whales to the ship .","instantly the captain run forward , in a loud voice commanded his crew and desist from hoisting cutting - tackle , at once cast loose cable to the piercing whale and the ship ship .","instantly the captain run forward , in a loud voice commanded his crew and desist from hoisting cutting - tackle , at once cast a loose cable to the piercing whale ship ."
"well , then , my watch must go .","well , then , my watch must go .","well , then , my watch must go .","well , then , my watch must go ."
"i have press ' d through in my own right , i have sing body soul , war peace have i sing , song of life death , song of birth , show that there be many birth .","i have press ' d through in my own right , i have sung the body and the soul , war and peace have i sung , and the songs of life and death , and the songs of birth , and shown that there are many births","i have pressed ' d through in my own right , i have sung any body soul , and war peace have i sung , song of life and death , song of births , shows that there is many birth .","i have pressed ' d through in my own right , i have sung any body soul , and war peace have i sung , song of life and death , song of births , shows that there is many birth ."
"27 : 15 if he that sanctify it will redeem his house , then he shall add fifth part of money of thy estimation unto it , it shall be his .","27 : 15 and if he that sanctified it will redeem his house , then he shall add the fifth part of the money of thy estimation unto it , and it shall be his .","27 : 15 if he that sanctify it will redeem his house , then he shall add the fifth part of the money of thy estimation unto it , it shall be his .","27 : 15 if he that sanctify it will redeem his house , then he shall add the fifth part of the money of thy estimation unto it , it shall be his ."
"isabella , after tell mary what excellent character she have heard of her , inquire what it be she most want ; mary say that she have just work up her flax , she be most in want of more flax for her wheel .","isabella , after telling mary what an excellent character she had heard of her , inquired what it was she most wanted ; and mary said that she had just worked up all her flax , and she was most in want of more flax for her wheel","isabella , after telling mary what an excellent character she had heard of her , and inquired what it was she most wanted ; and mary said that she had just worked up to her flax , she was most in want of more engaged for her wheel","isabella , after telling mary what an excellent character she had heard of her , and inquired what it was she most wanted ; and mary said that she had just worked up to her flax , she was most in want of more engaged for her wheel"
15 : 20 thing that she lieth upon in her separation shall be unclean : thing also that she sitteth upon shall be unclean .,15 : 20 and every thing that she lieth upon in her separation shall be unclean : every thing also that she sitteth upon shall be unclean .,15 : 20 the thing that she lieth upon in her separation shall be unclean : and things also that she sitteth upon this shall be unclean .,15 : 20 these things that she lieth upon in her separation shall be unclean : things also that she sitteth upon this shall be unclean .
"extremely acceptable it be , for we must live at great expense while we be here .""","and extremely acceptable it is , for we must live at a great expense while we are here .""","extremely acceptable it is , for we must live at a great expense while we are here .""","extremely acceptable it is , for we must live at a great expense while we are here ."""
50 : 36 sword be upon liar ; they shall dote : sword be upon her mighty men ; they shall be dismay .,50 : 36 a sword is upon the liars ; and they shall dote : a sword is upon her mighty men ; and they shall be dismayed .,50 : 36 and the sword are upon the liars ; they shall the dote : and the sword are upon her mighty men ; and they shall be dismayed .,50 : 36 the sword are upon the liars ; they shall the dote : and the sword are upon her mighty men ; and they shall be dismayed .
"7 : 10 lord say unto joshua , get thee up ; wherefore li thou thus upon thy face ?","7 : 10 and the lord said unto joshua , get thee up ; wherefore liest thou thus upon thy face ?","7 : 10 and the lord said unto joshua , get thee up ; wherefore and liest thou thus upon thy face ?","7 : 10 and the lord said unto joshua , get thee up ; wherefore and liest thou thus upon thy face ?"
child of adam ],children of adam ],the children of adam ],the children of adam ]
""" indeed you be mistake there , sir ; i should never augur want of spirit from captain benwick ' s manner .",""" indeed you are mistaken there , sir ; i should never augur want of spirit from captain benwick ' s manners .",""" indeed you are mistaken there , sir ; i should never augur want of spirit from captain benwick ' s manner .",""" indeed you are mistaken there , sir ; i should never augur want of spirit from captain benwick ' s manner ."
"7 : 19 then i would know truth of fourth beast , which be diverse from all others , exceed dreadful , whose teeth be of iron , his nail of brass ; which devour , brake in piece , stamp residue with his foot ; 7 :","7 : 19 then i would know the truth of the fourth beast , which was diverse from all the others , exceeding dreadful , whose teeth were of iron , and his nails of brass ; which devoured , brake in pieces , and stamped the residue","7 : 19 then i would know the truth of fourth beasts , which was diverse from all the others , exceeding dreadful , whose teeth was of iron , and his nails of brass ; which devoured , brake in pieces , stamping with his feet ;","7 : 19 then i would know the truth of fourth beasts , which was diverse from all the others , exceeding dreadful , whose teeth was of iron , and his nails of brass ; which devoured , brake in pieces , stamping with his feet ;"
"20 : 7 if he say thus , it be well ; thy servant shall have peace : if he be very wroth , then be sure that evil be determine by him .","20 : 7 if he say thus , it is well ; thy servant shall have peace : but if he be very wroth , then be sure that evil is determined by him .","20 : 7 if he say thus , it is well ; thy servant shall have peace : if he be very wroth , then is sure that evil is determined by him .","20 : 7 if he say thus , it is well ; thy servant shall have peace : if he be very wroth , then is sure that evil is determined by him ."
"' what i be go say ,' say dodo in offended tone , ' be , that best thing get u dry would be caucus - race .'","' what i was going to say ,' said the dodo in an offended tone , ' was , that the best thing to get us dry would be a caucus - race .'","' what i was going to say ,' said the dodo in the offended tone , ' am , that the best thing got us a dry would be a caucus - race .'","' what i was going to say ,' said the dodo in the offended tone , ' am , that the best thing got us a dry would be a caucus - race .'"
"i should like know why you imagine i be ?""","i should like to know why you imagine i am ?""","i should like know why you imagine i am ?""","i should like know why you imagine i am ?"""
be recollection which ought make me forgive one sooner than myself .,this is a recollection which ought to make me forgive every one sooner than myself .,this is the recollection which ought to make me to forgive one sooner than myself .,this is the recollection which ought to make me to forgive one sooner than myself .
""" i saw rock you think be like dragon , one like merlin , --""",""" i saw the rock you thought was like a dragon , and the one like merlin , and --""",""" i saw the rock you think to be like dragons , one like merlin , --""",""" i saw the rock you think to be like dragons , one like merlin , --"""
"1 : 50 adonijah fear because of solomon , arose , go , catch hold on horn of altar .","1 : 50 and adonijah feared because of solomon , and arose , and went , and caught hold on the horns of the altar .","1 : 50 adonijah fear because of solomon , arose , go , catch hold on the horn of the altar .","1 : 50 adonijah fear because of solomon , arose , go , catch hold on the horn of the altar ."
""" my feeling , you see , do not prevent my take mr harville her family plymouth .""",""" my feelings , you see , did not prevent my taking mrs harville and all her family to plymouth .""",""" my feelings , you see , do not prevent my taking mr harville to her family plymouth .""",""" my feelings , you see , do not prevent my taking mr harville to her family plymouth ."""
"noble brutus , hath tell you caesar be ambitious : if it be so , it be  fault ,  hath caesar answer ' d it .","the noble brutus , hath told you caesar was ambitious : if it were so , it was a fault , and hath caesar answer ' d it .","noble brutus , hath told you caesars is ambitious : if it be so , it is fault , hath caesar answer ' d it .","noble brutus , hath told you caesars is ambitious : if it be so , it is fault , hath caesar answer ' d it ."
""" now stretch out your little useless finger , dear !""",""" now stretch out your little useless fingers , dear !""",""" now stretch out your little useless fingers , dear !""",""" now stretch out your little useless fingers , dear !"""
"aware of their danger , they be go abreast with great speed straight before wind , rub their flank as closely a so many span of horse in harness .","aware of their danger , they were going all abreast with great speed straight before the wind , rubbing their flanks as closely as so many of horses in harness .","aware of their danger , they were going to abreast with a great speed straight before the wind , rubbing their flank as closely as so many spanned of horses in the harness .","aware of their danger , they were going to abreast with great speed straight before the wind , rubbing their flank as closely as so many spanned of horses in the harness ."
"yet my heart rise high high like child ' s kite , until i come over loose , dry sand - hill flat , wet sand , where philip stand already up his ankle in shallow shining water , hundred yard out sea .","and yet my heart rose higher and higher like a child ' s kite , until i came over the loose , dry sand - hills and to the flat , wet sands , where philip stood already up to his ankles in the shallow shining water ,","yet my heart rose high high like child ' s kite , until i come over loose , dry sand - hill flat , wet sands , where philip stood already up his ankle in the shining water , and hundred yards out the sea .","yet my heart rose high high like child ' s kite , until i come over loose , dry sand - hill flat , wet sand , where philip stood already up his ankle in the shining water , and hundred yards out the sea ."
"7 : 4 thus hath lord god shew unto me : , behold , lord god call contend by fire , it devour great deep , do eat up part .","7 : 4 thus hath the lord god shewed unto me : and , behold , the lord god called to contend by fire , and it devoured the great deep , and did eat up a part .","7 : 4 thus hath the lord god shewed unto me : and , behold , lord god called contend by fire , it devoured a great deep , and do eat up the parts .","7 : 4 thus hath the lord god shewed unto me : and , behold , the lord god called contend by fire , it devoured a great deep , do eat up to part ."
"i be sure i should have be exceedingly angry if you have break glass , if it have be mine .""","i am sure i should have been exceedingly angry if you had broken the glass , if it had been mine .""","i am sure i should have been exceedingly angry if you had broken the glass , if it had been mine .""","i am sure i should have been exceedingly angry if you had broken the glass , if it had been mine ."""
"forty year have i in my city see soldier parade , forty year a pageant , till unawares lady of teeming turbulent city , sleepless amid her ship , her house , her incalculable wealth , with her million child around her , suddenly , at dead of","forty years had i in my city seen soldiers parading , forty years as a pageant , till unawares the lady of this teeming and turbulent city , sleepless amid her ships , her houses , her incalculable wealth , with her million children around her , suddenly","forty years had i in my cities seen soldiers parade , forty years as pageants , till the lady ladies of the teeming turbulent cities , and the sleepless amid her ship , her house , her incalculable wealth , with her millions child around her , suddenly","forty years had i in my cities seen soldiers parade , forty years as pageants , till the lady ladies of the teeming turbulent cities , the sleepless amid her ship , her house , her incalculable wealth , with her millions child around her , suddenly ,"
lady p . yes ; you may depend upon it -- it be airly castle that be lose .,lady p . yes ; you may depend upon it -- it was the airly castle that was lost .,lady p . yes ; you may depend upon it -- it is a airly castle that is lost .,lady p . yes ; you may depend upon it -- it is a airly castle that is lost .
i throw myself into major .,i threw myself into the major .,i throw myself into the major .,i throw myself into the major .
"in whole of her subsequent manner , she trace direction of mind awaken reasonable exertion ; for sooner have they enter their common sit - room , than marianne turn her eye around it with look of resolute firmness , a if determine at once accustom herself sight","in the whole of her subsequent manner , she traced the direction of a mind awakened to reasonable exertion ; for no sooner had they entered their common sitting - room , than marianne turned her eyes around it with a look of resolute firmness , as if","in the whole of her subsequent manner , she trace the direction of mind and awaken the reasonable exertion ; for the sooner had they entered their common sat - room , than marianne turned her eyes around it with a look of resolute , as if determined","in the whole of her subsequent manner , she trace the direction of mind and awaken a reasonable exertion ; for the sooner had they entered their common sat - room , than marianne turned her eyes around it with a look of resolute to firmness , as"
", i ' m of consequence .","no , i ' m of no consequence .","no , i ' m of consequence .","no , i ' m of consequence ."
""" now , keep spirit of yours , jem , till you want ' em , don ' t let it come upon you at once .",""" now , keep those spirits of yours , jem , till you want ' em , and don ' t let it come upon you all at once .",""" now , keep the spirit of yours , jem , till you want ' em , don ' t let it come upon you at once .",""" now , keep the spirit of yours , jem , till you want ' em , don ' t let it come upon you at once ."
inside of wood be full of shattered sunlight shaken shadow .,the inside of the wood was full of shattered sunlight and shaken shadows .,inside of wood is full of shattered and a sunlight and shaken shadows shadows .,inside of wood was full of the shattered sunlight and shaken shadows .
"milk - can tell me servant be out ; for , of course , arthur , browse about in his brown dress - gown in brown study , would not hear answer bell .","the milk - can told me the servants were all out ; for , of course , arthur , about in his brown dressing - gown in a brown study , would not hear or answer a bell .","milk - can tell me a servant is out ; for , of course , arthur , the discharge about in his brown dressing - gown in brown study , would not hear answer answer bell .","the milk - can tell me the servants was out ; for , of course , arthur , the discharge about in his brown dressing - gown in brown study , would not hear answer to answer bell ."
"4 : 1 master , give unto your servant that which be just equal ; know that ye also have master in heaven .","4 : 1 masters , give unto your servants that which is just and equal ; knowing that ye also have a master in heaven .","4 : 1 master , give unto your servants that which is just equal ; know that ye also have no master in heaven .","4 : 1 master , give unto your servants that which is just equal ; know that ye also have no master in heaven ."
she could not wait look at her garden .,she could not wait to look at her garden .,she could not wait to look at her garden .,she could not wait to look at her garden .
"we agree it would be best have harp , for it seem amuse her more than piano - forte .","and we agreed it would be best to have the harp , for it seems to amuse her more than the piano - forte .","we agreed it would be the best has a harp , for it seems amused to amuse more than piano - forte .","we agreed it would be the best have a harp , for it seemed amused to amuse more than piano - forte ."
"we will not be severe .""","we will not be severe .""","we will not be severe .""","we will not be severe ."""
"2 : 21 young old lie on ground in street : my virgin my young men be fall by sword ; hast slay them in day of thine anger ; hast kill , not pity .","2 : 21 the young and the old lie on the ground in the streets : my virgins and my young men are fallen by the sword ; thou hast slain them in the day of thine anger ; thou hast killed , and not pitied .","2 : 21 and the young old lie on the ground in the street : and my virgins and my young men are fallen by the sword ; and hast slain them in the days of thine anger ; and hast killed , not pitied .","2 : 21 and the young old lie on the ground in the street : and my virgins and my young men are fallen by the sword ; and hast slain them in the days of thine anger ; and hast killed , not pitied ."
""" what on earth be you talk about ?""",""" what on earth are you talking about ?""",""" what on the earth are you talking about",""" what on the earth are you talking about"
i will proclaime my name about field .,i will proclaime my name about the field .,i will my proclaime name about the fields .,i will my proclaime name about the fields .
"manchon be extremely fond of felix , who , by way of please his mistress , have pay most assiduous court her dog ; yet now his caress be rather troublesome .","manchon was extremely fond of felix , who , by way of pleasing his mistress , had paid most assiduous court to her dog ; yet now his caresses were rather troublesome .","manchon was extremely fond of felix , who , by the way of pleasing his mistress , had paid most court to her dog ; yet now his caressed was rather troublesome .","manchon was extremely fond of felix , who , by the way of pleasing his mistress , had paid the most court to her dog ; yet now his caressed was rather troublesome ."
"3 : 18 in day house of judah shall walk with house of israel , they shall come together out of land of north land that i have give for inheritance unto your father .","3 : 18 in those days the house of judah shall walk with the house of israel , and they shall come together out of the land of the north to the land that i have given for an inheritance unto your fathers .","3 : 18 in the day the house of judah shall walk with the house of israel , and they shall come together out of the land of the north and the land that i have given for the inheritance unto your father .","3 : 18 in the day the house of judah shall walk with the house of israel , and they shall come together out of the land of the north and the land that i have given for the inheritance unto your father ."
"2 : 8 unto angel of church in smyrna write ; thing saith first last , which be dead , be alive ; 2 : 9 i know thy work , tribulation , poverty , ( thou art rich ) i know blasphemy of them which say they","2 : 8 and unto the angel of the church in smyrna write ; these things saith the first and the last , which was dead , and is alive ; 2 : 9 i know thy works , and tribulation , and poverty , ( but thou","2 : 8 and unto the angel of the church in the asrielites write ; and the things saith first last , which is dead , is alive ; 2 : 9 and i know thy works , and tribulations , and poverty , ( thou art rich","2 : 8 and unto the angel of the church in the asrielites write ; and all things saith the first last , which is dead , is alive ; 2 : 9 and i know thy works , and tribulations , and poverty , ( thou art"
"2 : 19 jesus answer say unto them , destroy temple , in three day i will raise it up .","2 : 19 jesus answered and said unto them , destroy this temple , and in three days i will raise it up .","2 : 19 and jesus answered and said unto them , destroy the temple , in three days i will raise it up .","2 : 19 and jesus answered and said unto them , destroy the temple , in three days i will raise it up ."
"35 : 15 now , because it be not so , he hath visit in his anger ; he knoweth it not in great extremity : 35 : 16 therefore doth job open his mouth in vain ; he multiplieth word without knowledge .","35 : 15 but now , because it is not so , he hath visited in his anger ; yet he knoweth it not in great extremity : 35 : 16 therefore doth job open his mouth in vain ; he multiplieth words without knowledge .","35 : 15 now , because it is not so , he hath visited in his anger ; he knoweth it not in a great extremity : 35 : 16 therefore doth job opened his mouth in vain ; he drew a word without knowledge .","35 : 15 now , because it is not so , he hath visited in his anger ; he knoweth it not in a great extremity : 35 : 16 therefore doth job opened his mouth in vain ; he drew a word without knowledge ."
"20 : 5 jehoshaphat stand in congregation of judah jerusalem , in house of lord , before new court , 20 : 6 say , o lord god of our father , art not thou god in heaven ?","20 : 5 and jehoshaphat stood in the congregation of judah and jerusalem , in the house of the lord , before the new court , 20 : 6 and said , o lord god of our fathers , art not thou god in heaven ?","20 : 5 and jehoshaphat stood in the congregation of judah to jerusalem , in the house of the lord , before the new court , 20 : 6 saying , o lord god of our father , art not thou god in heaven ?","20 : 5 and jehoshaphat stood in the congregation of judah to jerusalem , in the house of the lord , before the new court , 20 : 6 saying , o lord god of our father , art not thou god in heaven ?"
"there weekly arrive in town score of green  new hampshire men , athirst for gain glory in fishery .","there weekly arrive in this town scores of green and new hampshire men , all athirst for gain and glory in the fishery .","there weekly arrived in town the score of the green new hampshire men , athirst for gain glory in the fishery .","there weekly arrived in town the score of the green new hampshire men , athirst for gain glory in the fishery ."
"ask syme , smile wildly .","asked syme , smiling wildly .","asked syme , smiling wildly .","asked syme , smiling wildly ."
"in due time boat be lower ; a standing in his  ' s stern , ahab just hover upon point of descent , he wave mate ,-- who hold one of tackle - rope on deck -- bid him pause .","in due time the boats were lowered ; but as standing in his ' s stern , ahab just hovered upon the point of the descent , he waved to the mate ,-- who held one of the tackle - ropes on deck -- and bade him","in due time the boat was lowering ; and as standing in his ' s stern , ahab just hovering upon the point of descent , he waves the mate ,-- who held one of the tackle - ropes on deck -- bid him pause .","in due time the boat was lowering ; and as standing in his ' s stern , ahab just hovering upon the point of descent , he waves the mate ,-- who held one of the tackle - ropes on deck -- bids him paused ."
""" do you like london ?""",""" do you like london ?""",""" do you like london ?""",""" do you like london ?"""
"enter william , take away chocolate .","enter william , to take away the chocolate .","enter william , take away the chocolate .","enter william , take away the chocolate ."
"kind for itself it own , for me mine male female , for me that have be boy love woman , for me man that be proud feel how it sting be slight , for me sweet - heart old maid , for me mother mother of mother","every kind for itself and its own , for me mine male and female , for me those that have been boys and that love women , for me the man that is proud and feels how it stings to be slighted , for me the sweet -","kind for itself it own , for me mine males female , for me that have been boy love woman , for me a man that is proud feeling how it to be a slight , for me sweet - heart old maid , for me and for","kind for itself it own , for me mine males female , for me that have been boy to love a woman , for me a man that is proud feeling how it to sting is a slight , for me sweet - heart old maid , for"
6 : 1 what shall we say then ?,6 : 1 what shall we say then ?,6 : 1 what shall we say then ?,6 : 1 what shall we say then ?
", beleeue mee ' tis very cold , winde be northerly","no , beleeue mee ' tis very cold , the winde is northerly","no , beleeue mee ' tis very cold , and winde is controlled","no , beleeue mee ' tis very cold , and winde is controlled"
"17 : 13 i will be his father , he shall be my son : i will not take my mercy away from him , a i take it from him be before thee : 17 : 14 i will settle him in mine house in my kingdom","17 : 13 i will be his father , and he shall be my son : and i will not take my mercy away from him , as i took it from him that was before thee : 17 : 14 but i will settle him in mine","17 : 13 and i will be his father , and he shall be my son : and i will not take my mercy away from him , as i took it from him to be before thee : 17 : 14 and i will settle him in","17 : 13 and i will be his father , and he shall be my son : and i will not take my mercy away from him , as i took it from him to be before thee : 17 : 14 and i will settle him in"
""" i speak for your son ' s sake , not for sake of my grape ,"" say gardener ; i tell you again , boy will not do well in world , neighbour , if you don ' t look after him in time .""",""" i speak for your son ' s sake , and not for the sake of my grapes ,"" said the gardener ; "" and i tell you again , the boy will not do well in the world , neighbour , if you don ' t look",""" i speak for your son ' s sake , not for the sake of my grapes ,"" said the gardener ; "" i told you again , boy will not do well in the world , neighbour , if you don after him in him in time",""" i speak for your son ' s sake , not for the sake of my grapes ,"" said the gardener ; but i told you again , boy will not do well in the world , neighbour , if you don ' t look after him in"
"could anne have foresee such junction , she would have staid at home ; , from feeling of interest curiosity , she fancy now that it be too late retract , whole six set forward together in direction choose by miss musgroves , who evidently consider walk a","could anne have foreseen such a junction , she would have staid at home ; but , from some feelings of interest and curiosity , she fancied now that it was too late to retract , and the whole six set forward together in the direction chosen by","could anne have foreseen such junction , she would have staid at home ; and , from feeling of interest , she fancied now that it was too late retracted , the whole six set forward together in the direction chosen by miss musgroves , who evidently considering","could anne have foreseen such junction , she would have staid at home ; and , from feeling of interest , she fancied now that it was too late retracted , the whole six set forward together in the direction chosen by miss musgroves , who evidently considering"
"cry louisa , start up .","cried louisa , starting up .","cried louisa , starting up .","cried louisa , starting up ."
"ere i break , yell hear me crack ; till ye hear that , know that ahab ' s hawser tow his purpose yet .","but ere i break , yell hear me crack ; and till ye hear that , know that ahab ' s hawser tows his purpose yet .","ere i break , and yell hear me to crack ; till ye hear that , knowing that ahab ' s a hawser towing to his purpose yet .","ere i break , and yell hear me to crack ; till ye hear that , knowing that ahab ' s hawser towing his purpose yet ."
there be peace between israel amorites .,and there was peace between israel and the amorites .,there was peace between israel and amorites .,there was peace between israel and amorites .
"little girl use put shell in their hat for sign they be on pilgrimage , a old pilgrim use do ; then they make journey over hill behind house , through wood , down lane ; when pilgrimage be over they have apple nut eat , in happy","the little girls used to put shells in their hats for a sign they were on a pilgrimage , as the old pilgrims used to do ; then they made journeys over the hill behind the house , and through the woods , and down the lanes ;","little girl used to put a shell in their hats for a sign they were on the pilgrimage , as the old pilgrims use to do ; and then they made a journey over the hill behind the house , through the wood , down the lane ;","little girl used to put a shell in their hats for a sign they were on the pilgrimage , as the old pilgrims use to do ; and then they made a journey over the hill behind the house , through the wood , down the lane ;"
"still , he do not mean take chance .","still , he did not mean to take any chances .","still , he does not mean to take a chance .","still , he does not mean to take a chance ."
i be amazement !,i am all amazement !,i am amazement !,i am amazement !
"one voyager in purchas call them wondrous "" whisker "" inside of whale ' s mouth  , "" hog ' bristle ""; third old gentleman in hackluyt use following elegant language : "" there be about two hundred fifty fin grow on side of his upper chop","one voyager in purchas calls them the wondrous "" whiskers "" inside of the whale ' s mouth another , "" ' bristles ""; a third old gentleman in hackluyt uses the following elegant language : "" there are about two hundred and fifty fins growing","one voyagers in purchas call them wondrous "" whisker "" inside of whales ' s mouth , "" hog ' bristle ""; the third old gentleman in the use and elegant elegant elegant : "" there is about two hundred fifty fins growing on the side","one voyagers in purchas call them wondrous "" the whiskers "" inside of the whale ' s mouth , "" hog ' bristle ""; the third old gentleman in the use to the following elegant elegant mink : "" there was about two hundred fifty fins"
""" do you mean bow arrow ?""",""" do you mean a bow and arrow ?""",""" do you mean the bow arrows ?""",""" do you mean the bow arrows ?"""
"he say ,--","he said ,--","he said ,--","and he said ,--"
one of merry little breeze have carry scent of fat trout over him .,one of the merry little breezes had carried the scent of that fat trout over to him .,one of the merry little breeze had carried the scent of fat trout over him .,one of the merry little breeze had carried the scent of fat trout over him .
"she could soon tell at what  ' s new carriage be building , by what painter mr . willoughby ' s portrait be draw , at what warehouse miss grey ' s clothes might be see .","she could soon tell at what ' s the new carriage was building , by what painter mr . willoughby ' s portrait was drawn , and at what warehouse miss grey ' s clothes might be seen .","she could soon tell at what ' s new carriage was building , by what a painter mrs . willoughby ' s been drawn , at what ' s a new grey ' s clothes might be seen .","she could soon tell at what ' s a new carriage was building , by what a painter mrs . willoughby ' s been drawn , at what brings miss grey ' s clothes might be seen ."
emma know it have be very much case .,emma knew it to have been very much the case .,emma knew it had been very much case .,emma knew it had been very much case .
"nice quiet shure she be , nivir do  ; she live  all be herself , work upon her  .","nice and quiet shure she was , and nivir did any ; she lived all be herself , and worked upon her .","the nice quiet quiet shure she was , and the panting did ; she lived all that was herself , working upon her .","the nice quiet quiet shure she was , and the ostler did ; she lived all that was herself , working upon her ."
